School Year,School District,BEDS Code,School Name,Local School Code,School Type,Part B,Lowest Grade,Highest Grade,Does this school serve its full planned grade span? (Y/N),"If no, is this school opening this school year? (Y/N)",Is the school scheduled to close? (Y/N),"If so, what year?",K-12 Enrollment,Pre-K Enrollment,Preschool Special Ed Enrollment,K-12 FRPL Count,K-12 ELL Count,K-12 SWD Count,Classroom Teachers w/ 0-3 Years Experience,Classroom Teachers w/ More than 3 Years Experience,Paraprofessional Classroom Staff,Principals & Other Admin Staff,Pupil Support Services Staff, All Remaining Staff , Total Staff , Part C , Classroom Teachers , All Other Salaries , Employee Benefits , BOCES Services , All Other , Total Allocation by Object , Grades K-12 , Pre-K , Grades K- 12 , Preschool , School Administration , Instructional Media , Pupil Support Services , Total Allocation by Purpose , State & Local Funding , Federal Funding , Total Funding Source by School , State & Local Funding per Pupil , Federal Funding per Pupil , Central District Costs , Total School Allocation w/ Central District Costs , Total School Funding per Pupil , Part D , Does this school offer a Pre-K program? (Y/N) , Does this school offer student/family support or community schools services? (Y/N) , 4-Year-Old Full-Day , 4-Year-Old Half-Day , 3-Year-Old Full-Day , 3-Year-Old Half-Day , Total Pre-K Enrollment , State Grants , Other State & Local Funding , Federal Funding  , Total Pre-K Spending , Community Schools Site Coordinator (FTE Basis) , Enriched Academic Services ," Health, Mental Health/Counseling, Dental Care ", Nutrition Services , Legal Services , After-School Programs/Extended Day Programs , All Other  , Total Community Schools Spending , Foundation Aid Community Schools Set-Aside , Other State & Local Funding  , Federal Funding   , Part E ,Local Formula Allocation, Allocation If Local Formula Fully Funded ,Difference,% Funded, Total Funding (See Part C) ,Local Formula as % of Total Funding, Other Funding 
2017-18,New York City,(blank),Pre-K Center District 30,QP30,Pre-K Only,Part B,Other,Other,Yes,,No,,0,238,4,0,0,0,19.0,13.0,21.9,3.0,1.8,2.0,60.7,Part C," 26,79,778.00 "," 15,95,625.00 "," 26,03,100.53 ", -   ," 1,231.00 "," 68,79,734.53 ", -   ," 67,24,084.43 ", -   ," 1,55,650.10 ", -   , -   , -   ," 68,79,734.53 "," 68,79,734.53 ", -   ," 68,79,734.53 "," 31,130.02 ", -   ," 14,74,953.90 "," 83,54,688.43 "," 37,804.02 ", Part D ,Yes,No, 216.00 , -   , -   , - , 216 ," 21,60,000 "," 45,64,084 ", -   ," 67,24,084.43 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 68,79,734.53 ",0.0000%," 68,79,734.53 "
2017-18,New York City,(blank),Passages Academy,X695,Junior-Senior High School,Part B,6,12,Yes,,No,,223,0,0,223,19,85,8.0,79.0,10.9,8.0,20.0,17.0,142.9,Part C," 79,77,643.00 "," 43,94,943.00 "," 75,33,110.95 ", -   ," 71,817.00 "," 1,99,77,513.95 "," 1,47,75,617.40 ", -   ," 14,97,942.15 ", -   ," 17,81,057.19 "," 1,321.00 "," 19,21,576.20 "," 1,99,77,513.95 "," 1,88,43,276.95 "," 11,34,237.00 "," 1,99,77,513.95 "," 84,499.00 "," 5,086.26 "," 14,88,301.90 "," 2,14,65,815.85 "," 96,259.26 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 1,99,77,513.95 ",0.0000%," 1,99,77,513.95 "
2017-18,New York City,(blank),Dewitt Clinton Campus YABC,X668,Senior High School,Part B,9,12,Yes,,No,,125,0,0,100,36,1,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 6,91,246.00 "," 4,20,868.59 ", -   ," 96,356.00 "," 12,08,470.59 "," 9,22,956.31 ", -   ," 8,042.67 ", -   ," 2,19,821.08 "," 1,339.00 "," 56,311.53 "," 12,08,470.59 "," 11,96,104.59 "," 12,366.00 "," 12,08,470.59 "," 9,568.84 ", 98.93 ," 8,34,249.95 "," 20,42,720.53 "," 16,341.76 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 12,08,470.59 ",0.0000%," 12,08,470.59 "
2017-18,New York City,(blank),Pre-K Center District 07,XP07,Pre-K Only,Part B,Other,Other,Yes,,No,,0,160,0,0,0,0,14.0,7.0,13.0,1.0,0.0,1.0,36.0,Part C," 17,69,171.00 "," 10,34,124.00 "," 17,06,800.20 ", -   ," 24,995.00 "," 45,35,090.20 ", -   ," 44,32,602.29 ", -   ," 1,02,487.91 ", -   , -   , -   ," 45,35,090.20 "," 45,35,090.20 ", -   ," 45,35,090.20 "," 25,621.98 ", -   ," 11,81,297.92 "," 57,16,388.12 "," 32,295.98 ", Part D ,Yes,No, 73.00 , -   , 100.00 , - , 173 ," 3,76,782 "," 40,55,821 ", -   ," 44,32,602.29 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 45,35,090.20 ",0.0000%," 45,35,090.20 "
2017-18,New York City,(blank),Pre-K Center District 10,XP10,Pre-K Only,Part B,Other,Other,Yes,,No,,0,334,0,0,0,0,19.2,12.0,27.0,2.0,1.8,2.0,64.0,Part C," 24,43,327.00 "," 23,27,058.00 "," 29,04,472.80 ", -   ," 2,56,916.00 "," 79,31,773.80 ", -   ," 75,32,523.44 ", -   ," 3,99,250.36 ", -   , -   , -   ," 79,31,773.80 "," 79,31,773.80 ", -   ," 79,31,773.80 "," 26,616.69 ", -   ," 19,88,851.87 "," 99,20,625.67 "," 33,290.69 ", Part D ,Yes,No, 283.00 , -   , -   , - , 283 ," 28,30,000 "," 47,02,523 ", -   ," 75,32,523.44 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 79,31,773.80 ",0.0000%," 79,31,773.80 "
2017-18,New York City,(blank),Pre-K Center District 09,XP09,Pre-K Only,Part B,Other,Other,Yes,,No,,0,82,0,0,0,0,7.0,1.0,6.0,1.0,0.0,2.0,17.0,Part C," 7,09,353.00 "," 5,15,408.00 "," 7,45,701.87 ", -   ," 88,906.00 "," 20,59,368.87 ", -   ," 17,60,428.23 ", -   ," 2,98,940.64 ", -   , -   , -   ," 20,59,368.87 "," 20,59,368.87 ", -   ," 20,59,368.87 "," 33,215.63 ", -   ," 4,13,787.97 "," 24,73,156.84 "," 39,889.63 ", Part D ,Yes,No, 53.00 , -   , -   , - , 53 ," 5,30,000 "," 12,30,428 ", -   ," 17,60,428.23 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 20,59,368.87 ",0.0000%," 20,59,368.87 "
2017-18,New York City,(blank),Stevenson YABC,X507,Senior High School,Part B,9,12,Yes,,No,,92,0,0,65,6,1,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 6,86,360.00 "," 4,17,893.72 ", -   ," 83,809.00 "," 11,88,062.72 "," 8,23,083.88 ", -   ," 4,020.53 ", -   ," 1,86,850.81 "," 1,339.00 "," 1,72,768.50 "," 11,88,062.72 "," 11,88,062.72 ", -   ," 11,88,062.72 "," 12,913.73 ", -   ," 6,14,007.96 "," 18,02,070.68 "," 19,587.72 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 11,88,062.72 ",0.0000%," 11,88,062.72 "
2017-18,New York City,(blank),Learning to Work YABC at Monroe,X428,Senior High School,Part B,9,12,Yes,,No,,146,0,0,124,34,3,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 6,91,209.00 "," 4,20,846.06 ", -   ," 1,22,614.00 "," 12,34,669.06 "," 7,82,681.73 ", -   ," 67,156.83 ", -   ," 2,23,058.09 "," 1,339.00 "," 1,60,433.41 "," 12,34,669.06 "," 12,22,303.06 "," 12,366.00 "," 12,34,669.06 "," 8,371.94 ", 84.70 ," 9,74,403.94 "," 22,09,073.00 "," 15,130.64 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 12,34,669.06 ",0.0000%," 12,34,669.06 "
2017-18,New York City,(blank),C Columbus HS YABC,X417,Senior High School,Part B,9,12,Yes,,No,,138,0,0,105,23,0,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 7,27,928.00 "," 4,43,202.61 ", -   ," 78,857.00 "," 12,49,987.61 "," 9,30,587.63 ", -   ," 4,020.53 ", -   ," 2,12,682.59 "," 1,339.00 "," 1,01,357.87 "," 12,49,987.61 "," 12,49,987.61 ", -   ," 12,49,987.61 "," 9,057.88 ", -   ," 9,21,011.94 "," 21,70,999.55 "," 15,731.88 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 12,49,987.61 ",0.0000%," 12,49,987.61 "
2017-18,New York City,(blank),Alfred E. Smith Campus YABC,X456,Senior High School,Part B,9,12,Yes,,No,,253,0,0,177,20,5,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 5,35,109.00 "," 3,25,803.79 ", -   ," 2,40,947.00 "," 11,01,859.79 "," 7,70,094.15 ", -   ," 14,074.26 ", -   ," 2,19,821.08 "," 1,339.00 "," 96,531.30 "," 11,01,859.79 "," 11,01,859.79 ", -   ," 11,01,859.79 "," 4,355.18 ", -   ," 16,88,521.89 "," 27,90,381.68 "," 11,029.18 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 11,01,859.79 ",0.0000%," 11,01,859.79 "
2017-18,New York City,(blank),Kennedy YABC,X504,Senior High School,Part B,9,12,Yes,,No,,128,0,0,90,27,7,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 7,62,496.00 "," 4,64,249.51 ", -   ," 24,253.00 "," 12,50,998.51 "," 8,93,494.40 ", -   ," 30,159.60 ", -   ," 2,43,953.90 "," 1,339.00 "," 82,051.61 "," 12,50,998.51 "," 12,50,998.51 ", -   ," 12,50,998.51 "," 9,773.43 ", -   ," 8,54,271.94 "," 21,05,270.45 "," 16,447.43 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 12,50,998.51 ",0.0000%," 12,50,998.51 "
2017-18,New York City,(blank),Walton YABC,X503,Senior High School,Part B,9,12,Yes,,No,,195,0,0,157,54,10,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 4,87,893.00 "," 2,97,056.10 ", -   ," 3,12,322.00 "," 10,97,271.10 "," 7,00,115.15 ", -   ," 34,180.12 ", -   ," 2,19,821.08 "," 1,339.00 "," 1,41,815.74 "," 10,97,271.10 "," 10,84,905.10 "," 12,366.00 "," 10,97,271.10 "," 5,563.62 ", 63.42 ," 13,01,429.92 "," 23,98,701.01 "," 12,301.03 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 10,97,271.10 ",0.0000%," 10,97,271.10 "
2017-18,New York City,(blank),Pre-K Center District 02,MP02,Pre-K Only,Part B,Other,Other,Yes,,No,,0,353,2,0,0,0,25.0,13.0,27.3,3.0,0.0,4.0,72.3,Part C," 38,62,821.00 "," 23,69,410.00 "," 37,94,525.06 ", -   ," 1,08,815.00 "," 1,01,35,571.06 ", -   ," 95,15,512.59 ", -   ," 6,20,058.46 ", -   , -   , -   ," 1,01,35,571.06 "," 1,01,35,571.06 ", -   ," 1,01,35,571.06 "," 23,848.40 ", -   ," 28,36,449.82 "," 1,29,72,020.87 "," 30,522.40 ", Part D ,Yes,No, 399.00 , -   , -   , - , 399 ," 32,07,472 "," 63,08,041 ", -   ," 95,15,512.59 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 1,01,35,571.06 ",0.0000%," 1,01,35,571.06 "
2017-18,New York City,(blank),George Washington YABC,M457,Senior High School,Part B,9,12,Yes,,No,,221,0,0,173,72,7,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 6,81,238.00 "," 4,14,775.17 ", -   ," 1,14,518.00 "," 12,10,531.17 "," 6,90,642.11 ", -   ," 62,338.30 ", -   ," 2,36,178.31 "," 1,339.00 "," 2,20,033.45 "," 12,10,531.17 "," 11,98,165.17 "," 12,366.00 "," 12,10,531.17 "," 5,421.56 ", 55.95 ," 14,74,953.90 "," 26,85,485.07 "," 12,151.52 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 12,10,531.17 ",0.0000%," 12,10,531.17 "
2017-18,New York City,(blank),Franklin Delano Roosevelt YABC,K658,Senior High School,Part B,9,12,Yes,,No,,223,0,0,146,24,0,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 6,99,510.00 "," 4,25,900.17 ", -   ," 86,664.00 "," 12,12,074.17 "," 9,50,980.70 ", -   ," 30,159.60 ", -   ," 2,19,821.08 "," 1,339.00 "," 9,773.79 "," 12,12,074.17 "," 12,12,074.17 ", -   ," 12,12,074.17 "," 5,435.31 ", -   ," 14,88,301.90 "," 27,00,376.07 "," 12,109.31 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 12,12,074.17 ",0.0000%," 12,12,074.17 "
2017-18,New York City,(blank),Automotive High School YABC,K923,Senior High School,Part B,9,12,Yes,,No,,202,0,0,139,21,4,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 6,48,760.00 "," 3,95,000.78 ", -   ," 1,26,463.00 "," 11,70,223.78 "," 9,09,649.97 ", -   ," 12,063.19 ", -   ," 2,19,821.08 "," 1,339.00 "," 27,350.54 "," 11,70,223.78 "," 11,70,223.78 ", -   ," 11,70,223.78 "," 5,793.19 ", -   ," 13,48,147.91 "," 25,18,371.69 "," 12,467.19 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 11,70,223.78 ",0.0000%," 11,70,223.78 "
2017-18,New York City,(blank),Pre-K Center District 22,KP22,Pre-K Only,Part B,Other,Other,Yes,,No,,0,221,8,0,0,0,21.0,5.0,24.4,2.0,2.7,1.0,56.1,Part C," 22,85,693.00 "," 22,45,652.00 "," 27,58,932.10 ", -   ," 14,939.00 "," 73,05,216.10 ", -   ," 68,00,068.17 ", -   ," 5,05,147.92 ", -   , -   , -   ," 73,05,216.10 "," 73,05,216.10 ", -   ," 73,05,216.10 "," 38,857.53 ", -   ," 12,54,711.92 "," 85,59,928.01 "," 45,531.53 ", Part D ,Yes,No, 175.00 , -   , -   , - , 175 ," 17,50,000 "," 50,50,068 ", -   ," 68,00,068.17 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 73,05,216.10 ",0.0000%," 73,05,216.10 "
2017-18,New York City,(blank),Pre-K Center District 21,KP21,Pre-K Only,Part B,Other,Other,Yes,,No,,0,255,9,0,0,0,18.0,14.0,26.8,2.0,2.7,1.0,64.5,Part C," 23,64,510.00 "," 16,12,382.00 "," 24,21,350.61 ", -   ," 1,122.00 "," 63,99,364.61 ", -   ," 56,91,349.80 ", -   ," 7,08,014.81 ", -   , -   , -   ," 63,99,364.61 "," 63,99,364.61 ", -   ," 63,99,364.61 "," 27,231.34 ", -   ," 15,68,389.90 "," 79,67,754.51 "," 33,905.34 ", Part D ,Yes,No, 209.00 , -   , -   , - , 209 ," 12,36,668 "," 44,54,681 ", -   ," 56,91,349.80 ", -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 63,99,364.61 ",0.0000%," 63,99,364.61 "
2017-18,New York City,(blank),South Shore Educational Complex YABC,K922,Senior High School,Part B,9,12,Yes,,No,,204,0,0,151,19,0,n/a,n/a,n/a,1.0,n/a,n/a,1.0,Part C, -   ," 7,25,058.00 "," 4,41,455.19 ", -   ," 54,538.00 "," 12,21,051.19 "," 9,55,023.37 ", -   ," 28,779.20 ", -   ," 2,19,821.08 "," 1,339.00 "," 16,088.55 "," 12,21,051.19 "," 12,21,051.19 ", -   ," 12,21,051.19 "," 5,985.55 ", -   ," 13,61,495.91 "," 25,82,547.11 "," 12,659.54 ", Part D ,No,No, -   , -   , -   , - , - , - , - , -   , -   , -  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , Part E ,0.00 , -   ,0.00 ,," 12,21,051.19 ",0.0000%," 12,21,051.19 "
